SORT TYPE,log 2,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,WALL CLOCK TIME (s),,,,,,,,,
NETWORK,9,512,2,8,3835785,1,,,NETWORK,8,256,1,32,5591417,1
NETWORK,9,512,2,16,4465811,1,,,NETWORK,8,256,1,64,8948847,2
NETWORK,9,512,2,32,7400582,2,,,NETWORK,8,256,2,1,6598545,1
NETWORK,9,512,4,1,8656213,1,,,NETWORK,8,256,2,2,3822720,1
NETWORK,9,512,4,2,5157909,1,,,NETWORK,8,256,2,4,2576663,1
NETWORK,9,512,4,4,3586418,1,,,NETWORK,8,256,2,8,2295950,1
NETWORK,9,512,4,8,3227666,1,,,NETWORK,8,256,2,16,3208007,1
NETWORK,9,512,4,16,4373249,2,,,NETWORK,8,256,2,32,4976933,2
NETWORK,9,512,4,32,6959628,2,,,NETWORK,8,256,2,64,8768755,2
NETWORK,9,512,8,1,5741390,1,,,NETWORK,8,256,4,1,3995870,1
NETWORK,9,512,8,2,4045736,1,,,NETWORK,8,256,4,2,2653373,1
NETWORK,9,512,8,4,3379328,1,,,NETWORK,8,256,4,4,2123823,1
NETWORK,9,512,8,8,3458564,2,,,NETWORK,8,256,4,8,2190075,1
NETWORK,9,512,8,16,4731843,2,,,NETWORK,8,256,4,16,3182918,2
NETWORK,9,512,8,32,7061042,2,,,NETWORK,8,256,4,32,5003562,2
NETWORK,10,1024,1,1,72286316,2,,,NETWORK,8,256,4,64,7917249,2
NETWORK,10,1024,1,2,36900776,2,,,NETWORK,8,256,8,1,3119030,1
NETWORK,10,1024,1,4,19501047,1,,,NETWORK,8,256,8,2,2497439,1
NETWORK,10,1024,1,8,11573145,1,,,NETWORK,8,256,8,4,2399916,1
NETWORK,10,1024,1,16,9177720,1,,,NETWORK,8,256,8,8,2829335,2
NETWORK,10,1024,1,32,13843202,1,,,NETWORK,8,256,8,16,3894434,2
NETWORK,10,1024,2,1,36923204,2,,,NETWORK,8,256,8,32,5434149,2
NETWORK,10,1024,2,2,19274369,1,,,NETWORK,8,256,8,64,5489426,2
NETWORK,10,1024,2,4,10715756,1,,,NETWORK,9,512,1,1,29944925,2
NETWORK,10,1024,2,8,7066916,1,,,NETWORK,9,512,1,2,15549768,1
NETWORK,10,1024,2,16,6708839,1,,,NETWORK,9,512,1,4,8563349,1
NETWORK,10,1024,2,32,11405342,2,,,NETWORK,9,512,1,8,5594131,1
NETWORK,10,1024,4,1,19566209,1,,,NETWORK,9,512,1,16,5298975,1
NETWORK,10,1024,4,2,10808303,1,,,NETWORK,9,512,1,32,8588276,1
NETWORK,10,1024,4,4,6655992,1,,,NETWORK,9,512,1,64,13613737,2
NETWORK,10,1024,4,8,5131430,1,,,NETWORK,9,512,2,1,15566513,1
NETWORK,10,1024,4,16,5958879,2,,,NETWORK,9,512,2,2,8440767,1
NETWORK,10,1024,4,32,9715937,2,,,NETWORK,9,512,2,4,5069626,1
NETWORK,10,1024,8,1,11540072,1,,,NETWORK,9,512,2,8,3839439,1
NETWORK,10,1024,8,2,7217989,1,,,NETWORK,9,512,2,16,4466717,1
NETWORK,10,1024,8,4,5277374,2,,,NETWORK,9,512,2,32,7112595,2
NETWORK,10,1024,8,8,4840617,2,,,NETWORK,9,512,2,64,11838150,2
NETWORK,10,1024,8,16,6269096,2,,,NETWORK,9,512,4,1,8656037,1
NETWORK,10,1024,8,32,9438785,3,,,NETWORK,9,512,4,2,5158374,1
NETWORK,11,2048,1,1,172394505,3,,,NETWORK,9,512,4,4,3586430,1
NETWORK,11,2048,1,2,87227416,2,,,NETWORK,9,512,4,8,3231127,1
NETWORK,11,2048,1,4,45054299,2,,,NETWORK,9,512,4,16,4367556,2
NETWORK,11,2048,1,8,25240813,2,,,NETWORK,9,512,4,32,6799835,2
NETWORK,11,2048,1,16,17478578,1,,,NETWORK,9,512,4,64,11212897,2
NETWORK,11,2048,1,32,22253574,2,,,NETWORK,9,512,8,1,5742419,1
NETWORK,11,2048,2,1,87226811,2,,,NETWORK,9,512,8,2,4045880,1
NETWORK,11,2048,2,2,44628573,2,,,NETWORK,9,512,8,4,3381004,1
NETWORK,11,2048,2,4,23703920,2,,,NETWORK,9,512,8,8,3464574,2
NETWORK,11,2048,2,8,14168700,1,,,NETWORK,9,512,8,16,4733986,2
NETWORK,11,2048,2,16,11282873,2,,,NETWORK,9,512,8,32,7078092,2
NETWORK,11,2048,2,32,18540116,2,,,NETWORK,9,512,8,64,11444221,3
NETWORK,11,2048,4,1,45022448,2,,,NETWORK,10,1024,1,1,72287918,2
NETWORK,11,2048,4,2,23761274,2,,,NETWORK,10,1024,1,2,36899477,2
NETWORK,11,2048,4,4,13431666,1,,,NETWORK,10,1024,1,4,19493093,1
NETWORK,11,2048,4,8,9012752,2,,,NETWORK,10,1024,1,8,11566166,1
NETWORK,11,2048,4,16,8583209,2,,,NETWORK,10,1024,1,16,9169704,1
NETWORK,11,2048,4,32,14825701,2,,,NETWORK,10,1024,1,32,13791530,2
NETWORK,11,2048,8,1,24714879,2,,,NETWORK,10,1024,1,64,20254089,2
NETWORK,11,2048,8,2,14104164,1,,,NETWORK,10,1024,2,1,36922292,2
NETWORK,11,2048,8,4,9088548,2,,,NETWORK,10,1024,2,2,19276528,1
NETWORK,11,2048,8,8,7231795,2,,,NETWORK,10,1024,2,4,10715951,1
NETWORK,11,2048,8,16,8262353,2,,,NETWORK,10,1024,2,8,7065621,1
NETWORK,11,2048,8,32,13208885,3,,,NETWORK,10,1024,2,16,6720252,1
NETWORK,12,4096,1,1,406177506,4,,,NETWORK,10,1024,2,32,11617961,2
NETWORK,12,4096,1,2,204629280,3,,,NETWORK,10,1024,2,64,18483293,2
NETWORK,12,4096,1,4,104453006,2,,,NETWORK,10,1024,4,1,19566770,1
NETWORK,12,4096,1,8,56683543,2,,,NETWORK,10,1024,4,2,10809107,1
NETWORK,12,4096,1,16,35904039,2,,,NETWORK,10,1024,4,4,6656529,1
NETWORK,12,4096,1,32,40011659,2,,,NETWORK,10,1024,4,8,5135375,2
NETWORK,12,4096,2,1,204513991,3,,,NETWORK,10,1024,4,16,5957096,2
NETWORK,12,4096,2,2,103573010,2,,,NETWORK,10,1024,4,32,10054448,2
NETWORK,12,4096,2,4,53637339,2,,,NETWORK,10,1024,4,64,15288324,3
NETWORK,12,4096,2,8,30177299,2,,,NETWORK,10,1024,8,1,11541618,1
NETWORK,12,4096,2,16,20951564,2,,,NETWORK,10,1024,8,2,7213776,1
NETWORK,12,4096,2,32,26637902,2,,,NETWORK,10,1024,8,4,5281305,2
NETWORK,12,4096,4,1,104070977,2,,,NETWORK,10,1024,8,8,4839458,2
NETWORK,12,4096,4,2,53577653,2,,,NETWORK,10,1024,8,16,6244349,2
NETWORK,12,4096,4,4,28731588,2,,,NETWORK,10,1024,8,32,9355101,3
NETWORK,12,4096,4,8,17389181,2,,,NETWORK,10,1024,8,64,15412454,4
NETWORK,12,4096,4,16,13937379,2,,,NETWORK,11,2048,1,1,172394499,3
NETWORK,12,4096,4,32,22610106,2,,,NETWORK,11,2048,1,2,87235037,2
NETWORK,12,4096,8,1,54843540,2,,,NETWORK,11,2048,1,4,45043505,2
NETWORK,12,4096,8,2,29521538,2,,,NETWORK,11,2048,1,8,25240746,2
NETWORK,12,4096,8,4,17217093,2,,,NETWORK,11,2048,1,16,17470807,1
NETWORK,12,4096,8,8,11940318,2,,,NETWORK,11,2048,1,32,22278996,2
NETWORK,12,4096,8,16,11404988,2,,,NETWORK,11,2048,1,64,37496979,2
NETWORK,12,4096,8,32,18474488,3,,,NETWORK,11,2048,2,1,87227210,2
NETWORK,13,8192,1,1,946142256,8,,,NETWORK,11,2048,2,2,44633510,2
NETWORK,13,8192,1,2,475651068,5,,,NETWORK,11,2048,2,4,23699195,2
NETWORK,13,8192,1,4,241448066,3,,,NETWORK,11,2048,2,8,14164971,1
NETWORK,13,8192,1,8,128814027,2,,,NETWORK,11,2048,2,16,11266601,2
NETWORK,13,8192,1,16,77545559,2,,,NETWORK,11,2048,2,32,17741699,2
NETWORK,13,8192,1,32,78584201,2,,,NETWORK,11,2048,2,64,30326771,2
NETWORK,13,8192,2,1,475146201,5,,,NETWORK,11,2048,4,1,45022553,2
NETWORK,13,8192,2,2,239411360,3,,,NETWORK,11,2048,4,2,23759132,2
NETWORK,13,8192,2,4,122398406,2,,,NETWORK,11,2048,4,4,13429400,1
NETWORK,13,8192,2,8,66563274,2,,,NETWORK,11,2048,4,8,9015704,2
NETWORK,13,8192,2,16,42286784,2,,,NETWORK,11,2048,4,16,8569030,2
NETWORK,13,8192,2,32,46957911,2,,,NETWORK,11,2048,4,32,RERUN,2
NETWORK,13,8192,4,1,240039503,3,,,NETWORK,11,2048,4,64,24477545,2
NETWORK,13,8192,4,2,121929557,2,,,NETWORK,11,2048,8,1,24712625,2
